Vendor,SKU,Asset Type,Asset Sub Type,Description,Model
Transcend Information,TS2GJF300,Consumable,Flash Drive,2GB JetFlash 300 USB 2.0 Flash Drive,
Transcend Information,TS64GHSD370,Consumable,Hard Drive,64GB SATA 6Gb/s MLC Half Slim Internal Solid State Drive,
Transcend Information,TS8GJF370,Consumable,Flash Drive,8GB JetFlash 370 USB 2.0 Flash Drive,
Trend Micro,1579,,,OfficeScan Client,
Trend Micro,ADRA0003,,,,
Trend Micro,CTNA0034,,,,
Trend Micro,CTRA0006,,,,
Trend Micro,CXNI0003,,,,
Trend Micro,CTRA0034,,,,
Trend Micro,CTRN0078,,,,
Trend Micro,DXNN1276,,,,
Trend Micro,CXRI0003,,,,
Trend Micro,DXNA0618,,,,
Trend Micro,DXRA0587,,,,
Trend Micro,DXRN0629,,,,
Trend Micro,DXRN0637,,,,
Trend Micro,MDNN0077,,,,
Trend Micro,MDNN0105,,,,
Trend Micro,MDNN0091,,,,
Trend Micro,MDNN0114,,,,
Trend Micro,MDRN0077,,,,
Trend Micro,MDRN0079,,,,
Trend Micro,MDRN0091,,,,
Trend Micro,MDRN0105,,,,
Trend Micro,MDRN0114,,,,
Trend Micro,NNNA0046,,,,
Trend Micro,NNRA0046,,,,
Trend Micro,SKRN0030,,,,
Trend Micro,SKNN0012,,,,
Trend Micro,TPNN0070,Consumable,Network Card,Trend Micro TippingPoint Bypass I/O Module 4-Segment Gig-T - Expansion module - Gigabit Ethernet x 8,TippingPoint Bypass I/O Module 4-Segment Gig-T - Expansion module - Gigabit Ethernet x 8
Trend Micro,TPNN0073,ivnt_Infrastructure,NIC Module,Trend Micro - Short Range - network bypass unit - 2 ports - 10 GigE - plug-in module,Trend Micro Short Range network bypass unit 2 ports 10 GigE plug-in module
Trend Micro,TPNN0272,,,,
Trend Micro,TPNN0275,,,,
Trend Micro,TPNN0273,,,,
Trend Micro,TPNN0274,,,,
Trend Micro,TPNN0282,,,,
Trend Micro,TPNN0284,,,,
Trend Micro,TPNN0283,,,,
Trend Micro,TPNN0285,,,,
Trend Micro,TPNN0304,,,,
Trend Micro,TPNN0322,ivnt_Infrastructure,Management,Trend Micro TippingPoint Threat Protection System 5500TX - Security appliance - 1U - rack-mountable,TippingPoint Threat Protection System 5500TX
Trend Micro,TPRN0151,,,,
Trend Micro,TPRN0152,,,,
Trend Micro,TPRN0161,,,,
Trend Micro,TPRN0154,,,,
Trend Micro,TPRN0153,,,,
Trend Micro,TPRN0163,,,,
Trend Micro,TPRN0164,,,,
Trend Micro,TPRN0162,,,,
Trend Micro,TPRN0178,,,,
Trend Micro,TPRN0192,ivnt_Infrastructure,Management,Trend Micro TippingPoint Threat Protection System 5500TX - Security appliance - 10GbE - 1U - rack-mountable,TippingPoint Threat Protection System 5500TX
Trend Micro,VONA0000,,,Vision One,
Trend Micro,VONN0000,,,,
TRENDnet,TK-804R,ivnt_Infrastructure,KVM,8-Port Stackable Rackmount USB KVM Switch with OSD,
Trend Micro,VORA0152,,,Vision One,
TRENDnet,TPE-115GI,Consumable,POE Injector,,
TRENDnet,TK-CU06,Consumable,Cable,"USB KVM Cable, Gray, 6ft",
TRENDnet,TU2-EX12,Consumable,Cable,"USB 2.0 Extension Cable, 12m",
TRENDnet,TU-S9,Consumable,Cable,"USB to Serial Converter Cable, 26""",
Tripp Lite,B072-008-1,ivnt_Infrastructure,KVM,8-Port NetCommander 1U Rackmount Cat5 KVM Switch,
Tripp Lite,AVR700UXRM,Consumable,Battery,Tripp Lite AVR Series 120V 700VA 350W Ultra-Compact Line-Interactive UPS with USB port and Muted Alarm,
Tripp Lite,B078-101-USB-8,ivnt_Infrastructure,KVM,"NetCommander USB Server Interface Unit (SIU), 8-Pack",
Tripp Lite,B118-002,Consumable,Adapter,Tripp Lite 2-Port HDMI Splitter for Video with Audio 1920x1200 at 60Hz/1080p (HDMI F/2xF),
Tripp Lite,B118-002-UHD,Consumable,Cable,"2-Port 4K HDMI Splitter for Ultra HD (4Kx2K) Video with Audio, Black","2-Port 4K HDMI Splitter for Ultra HD (4Kx2K) Video with Audio, Black"
